87667	6	20000101	20100101
Time_Day	APCP	TMP	SPFH	UGRD	DSWRF
692.625	0	1.89	0.7643	0.36	0
692.666666666667	0	3.95	0.6886	0.41	125.664
692.708333333333	0	6	0.6214	0.46	248.72
692.75	33.4128	8.05	0.5611	0.51	376.032
692.791666666667	0	9.1	0.5122	0.05	449.043
692.833333333333	0	10.15	0.4677	0.41	459.544
692.875	0	11.2	0.427	0.87	461.792
692.916666666667	0	10.98	0.4628	0.89	374.304
692.958333333333	0	10.76	0.4996	0.91	265.432
693	0	10.54	0.5373	0.93	90.374
693.041666666667	0	9.46	0.5682	1.31	0
693.083333333333	0	8.37	0.6016	1.69	0
693.125	0	7.28	0.6372	2.08	0
693.166666666667	0	7.06	0.664	0.92	0
693.208333333333	0	6.83	0.6919	0.23	0
693.25	0	6.6	0.7205	1.38	0
693.291666666667	0.0096	5.85	0.7798	1.8	0
693.333333333333	3.7728	5.1	0.8435	2.21	0
693.375	4.3584	4.35	0.9121	2.63	0
693.416666666667	16.5024	4.47	0.9315	2.83	0
693.458333333333	103.3344	4.59	0.9504	3.04	0
693.5	67.8336	4.7	0.9694	3.24	0
693.541666666667	54.3168	5.56	0.9772	1.18	0
693.583333333333	177.8112	6.42	0.9811	0.88	0
693.625	181.7472	7.27	0.9822	2.94	0
693.666666666667	155.6736	7.57	0.9603	4.53	74.304
693.708333333333	57.2448	7.86	0.9395	6.11	148.73
693.75	0	8.15	0.9193	7.7	186.647
693.791666666667	12.9024	7.61	0.8816	8.33	223.225
693.833333333333	9.4848	7.06	0.8403	8.97	228.605
693.875	5.7024	6.51	0.7947	9.6	233.264
693.916666666667	15.7248	6.19	0.7829	9.51	189.024
693.958333333333	11.136	5.87	0.7701	9.42	133.864
694	7.2096	5.55	0.7564	9.33	52.728
694.041666666667	23.4912	4.95	0.7728	8.59	0
694.083333333333	22.3584	4.34	0.7898	7.85	0
694.125	7.3152	3.74	0.8065	7.11	0
694.166666666667	1.152	3.5	0.8154	5.98	0
694.208333333333	4.0128	3.26	0.8246	4.85	0
694.25	0	3.02	0.8337	3.72	0
694.291666666667	0.8736	2.84	0.8399	3.54	0
694.333333333333	1.152	2.66	0.8461	3.36	0
694.375	0	2.48	0.8523	3.17	0
694.416666666667	0	2.34	0.8578	3.01	0
694.458333333333	0	2.19	0.8639	2.84	0
694.5	0	2.05	0.8695	2.67	0
694.541666666667	0	1.85	0.874	2.63	0
694.583333333333	0	1.66	0.878	2.59	0
694.625	0	1.46	0.8825	2.55	0
694.666666666667	0	2.66	0.8218	2.3	108.144
694.708333333333	0	3.86	0.7657	2.04	218.914
694.75	9.5136	5.06	0.7139	1.78	350.951
694.791666666667	0.2784	5.85	0.6803	1.8	420.344
694.833333333333	0.6432	6.63	0.6489	1.82	430.803
694.875	0.1536	7.41	0.6191	1.83	362.624
694.916666666667	0.0576	7.07	0.6262	2.13	293.76
694.958333333333	0	6.73	0.6333	2.43	207.776
695	0	6.39	0.6404	2.72	57.688
695.041666666667	0.0096	5.45	0.6891	2.47	0
695.083333333333	0.0096	4.51	0.742	2.21	0
695.125	0	3.58	0.7986	1.95	0
695.166666666667	0	3.42	0.8123	1.86	0
695.208333333333	0	3.27	0.8256	1.78	0
695.25	0	3.12	0.8392	1.69	0
695.291666666667	0	3.09	0.8362	1.53	0
695.333333333333	0	3.06	0.8333	1.38	0
695.375	0	3.03	0.8303	1.23	0
695.416666666667	0	2.88	0.8262	0.86	0
695.458333333333	0	2.72	0.8225	0.49	0
695.5	0	2.57	0.818	0.12	0
695.541666666667	0	2.25	0.8133	0.07	0
695.583333333333	0	1.93	0.808	0.03	0
695.625	0	1.6	0.8025	0.02	0
695.666666666667	0	2.9	0.7611	0.04	125.248
695.708333333333	0	4.2	0.7214	0.11	256.536
695.75	0	5.5	0.6835	0.17	389.153
695.791666666667	0	6.21	0.6286	0.76	466.821
695.833333333333	0	6.92	0.5775	1.35	478.782
695.875	0	7.62	0.5302	1.94	467.168
695.916666666667	0	7.35	0.5508	1.68	378.368
695.958333333333	0	7.08	0.572	1.43	267.312
696	0	6.8	0.5941	1.17	72.4
696.041666666667	0	5.3	0.6337	1.27	0
696.083333333333	0	3.79	0.6763	1.36	0
696.125	0	2.29	0.7209	1.46	0
696.166666666667	0	1.9	0.7212	0.89	0
696.208333333333	0	1.51	0.7209	0.33	0
696.25	0	1.12	0.7201	0.23	0
696.291666666667	0	0.94	0.6974	0.5	0
696.333333333333	0	0.76	0.6741	0.76	0
696.375	0	0.58	0.6499	1.02	0
696.416666666667	0	0.45	0.6304	1.14	0
696.458333333333	0	0.31	0.6109	1.25	0
696.5	0	0.18	0.5905	1.37	0
696.541666666667	0	0	0.5747	1.22	0
696.583333333333	0	-0.17	0.5579	1.07	0
696.625	0	-0.35	0.5411	0.92	0
696.666666666667	0	1.45	0.5031	1.04	122.48
696.708333333333	0	3.25	0.4671	1.17	253.879
696.75	0	5.04	0.4337	1.3	376.489
696.791666666667	0.4512	5.93	0.4088	0.4	452.31
696.833333333333	0.9408	6.81	0.3856	0.5	464.264
696.875	1.0752	7.7	0.3636	1.4	430.528
696.916666666667	0	7.35	0.3973	0.87	348.64
696.958333333333	0.4416	7	0.4324	0.33	246.04
697	0.2592	6.65	0.469	0.2	83.944
697.041666666667	0	5.36	0.4899	0.2	0
697.083333333333	0	4.07	0.5113	0.6	0
697.125	0	2.77	0.5332	1	0
697.166666666667	0	2.63	0.5555	0.32	0
697.208333333333	0	2.49	0.5782	0.36	0
697.25	0.0192	2.35	0.6012	1.05	0
697.291666666667	0	2.36	0.6124	0.85	0
697.333333333333	0.0384	2.37	0.6235	0.64	0
697.375	0.8448	2.38	0.6347	0.44	0
697.416666666667	0	2.51	0.6537	0.64	0
697.458333333333	0	2.64	0.6722	0.85	0
697.5	0	2.77	0.6903	1.05	0
697.541666666667	2.0928	2.17	0.7473	2.12	0
697.583333333333	0	1.56	0.8085	3.19	0
697.625	0	0.95	0.8738	4.25	0
697.666666666667	0	1.48	0.8671	4.51	36.72
697.708333333333	0	2	0.8605	4.76	77.044
697.75	0.192	2.53	0.8526	5.01	116.982
697.791666666667	0	2.85	0.8577	4.96	140.756
697.833333333333	0	3.18	0.8615	4.92	144.593
697.875	2.2272	3.5	0.8652	4.88	149.344
697.916666666667	2.5152	3.57	0.8817	4.68	120.928
697.958333333333	33.2352	3.63	0.8986	4.48	85.256
698	65.1456	3.69	0.9153	4.28	32.26
698.041666666667	92.8896	3.68	0.9321	3.29	0
698.083333333333	55.4496	3.67	0.9488	2.31	0
698.125	37.4592	3.65	0.9662	1.33	0
698.166666666667	41.7408	3.53	0.9478	0.02	0
698.208333333333	67.7472	3.4	0.9298	1.29	0
698.25	195.0624	3.28	0.9107	2.6	0
698.291666666667	94.5216	2.77	0.9126	2.65	0
698.333333333333	70.9248	2.27	0.913	2.7	0
698.375	46.1088	1.76	0.913	2.75	0
698.416666666667	0	1.52	0.9233	2.13	0
698.458333333333	18.1632	1.27	0.9343	1.5	0
698.5	37.6704	1.03	0.9448	0.88	0
698.541666666667	11.5008	1.33	0.9406	0.94	0
698.583333333333	13.0752	1.62	0.9369	1	0
698.625	11.4816	1.92	0.9325	1.06	0
698.666666666667	5.0976	2.55	0.9072	1.49	46.176
698.708333333333	4.9152	3.19	0.882	1.92	98.086
698.75	10.9248	3.82	0.8581	2.35	209.763
698.791666666667	6.9312	4.28	0.8338	3.05	252.781
698.833333333333	4.4064	4.75	0.8097	3.74	259.871
698.875	4.1088	5.21	0.787	4.43	380.496
698.916666666667	2.6112	5.37	0.7907	4.06	308.064
698.958333333333	0	5.53	0.7943	3.7	217.016
699	0	5.68	0.7982	3.33	66.508
699.041666666667	0	4.42	0.8273	2.73	0
699.083333333333	0	3.16	0.8557	2.14	0
699.125	0	1.9	0.883	1.54	0
699.166666666667	0	1.7	0.8729	1.53	0
699.208333333333	0	1.51	0.8617	1.52	0
699.25	0	1.31	0.8508	1.5	0
699.291666666667	0	1.44	0.8436	1.65	0
699.333333333333	0	1.58	0.8358	1.8	0
699.375	0	1.72	0.8281	1.95	0
699.416666666667	0	1.52	0.8231	1.55	0
699.458333333333	0	1.31	0.8184	1.14	0
699.5	0	1.11	0.8128	0.73	0
699.541666666667	0	1.04	0.8183	0.09	0
699.583333333333	0	0.97	0.8238	0.55	0
699.625	0	0.9	0.8294	1.18	0
699.666666666667	0	2.24	0.8065	1.03	85.12
699.708333333333	0	3.59	0.7813	0.87	183.138
699.75	0	4.94	0.7549	0.72	256.919
699.791666666667	0	5.51	0.7331	0.71	310.097
699.833333333333	0	6.08	0.712	0.71	319.06
699.875	0	6.66	0.6911	0.7	276.592
699.916666666667	0	6.32	0.7278	0.66	223.936
699.958333333333	0	5.98	0.7658	0.62	157.64
700	0	5.63	0.8058	0.58	43.04
700.041666666667	0	5.04	0.8437	1.14	0
700.083333333333	0	4.45	0.8834	1.7	0
700.125	0.0096	3.85	0.9258	2.26	0
700.166666666667	7.8624	3.86	0.9264	2.33	0
700.208333333333	13.776	3.87	0.927	2.39	0
700.25	23.1744	3.87	0.9282	2.46	0
700.291666666667	24.576	3.96	0.9296	2.56	0
700.333333333333	9.3504	4.05	0.9309	2.67	0
700.375	17.5104	4.14	0.9322	2.77	0
700.416666666667	23.0304	4.15	0.9397	2.42	0
700.458333333333	55.0848	4.16	0.9471	2.06	0
700.5	96.2208	4.18	0.9538	1.7	0
700.541666666667	61.3248	4.31	0.9544	0.96	0
700.583333333333	81.8304	4.44	0.9547	0.22	0
700.625	89.376	4.58	0.9544	0.51	0
700.666666666667	131.424	4.76	0.9523	0.82	40.304
700.708333333333	83.0784	4.94	0.9502	1.13	87.843
700.75	232.0032	5.12	0.9479	1.43	134.873
700.791666666667	104.904	5.47	0.9418	2.14	161.397
700.833333333333	51.0624	5.81	0.9361	2.85	164.376
700.875	38.5152	6.16	0.9297	3.55	122.576
700.916666666667	3.312	5.79	0.9342	2.83	101.968
700.958333333333	0	5.41	0.9391	2.11	72.064
701	22.0032	5.04	0.9431	1.38	35.612
701.041666666667	0	4.81	0.9442	0.93	0
701.083333333333	0	4.58	0.945	0.48	0
701.125	0	4.34	0.9464	0.02	0
701.166666666667	0	4.44	0.9455	0.95	0
701.208333333333	0.0768	4.53	0.9453	1.93	0
701.25	0.9264	4.62	0.9451	2.91	0
701.291666666667	0.9216	4.66	0.9456	3.34	0
701.333333333333	24.2784	4.69	0.9469	3.77	0
701.375	23.9232	4.72	0.9481	4.19	0
701.416666666667	29.1648	4.05	0.9556	3.56	0
701.458333333333	28.2432	3.37	0.9626	2.94	0
701.5	28.032	2.69	0.9686	2.31	0
701.541666666667	45.7536	3.05	0.9697	1.32	0
701.583333333333	63.3792	3.41	0.9702	0.34	0
701.625	44.6208	3.77	0.97	0.64	0
701.666666666667	38.9184	3.7	0.9378	0.5	38.624
701.708333333333	36.5952	3.63	0.9052	0.35	85.282
701.75	28.4928	3.56	0.8723	0.21	247.347
701.791666666667	19.3728	4.57	0.857	1.71	296.449
701.833333333333	25.1328	5.58	0.8403	3.21	302.185
701.875	5.424	6.6	0.8219	4.71	254.224
701.916666666667	14.9568	6.2	0.8275	4.93	211.52
701.958333333333	13.9104	5.81	0.8323	5.15	149.416
702	24.288	5.42	0.8368	5.37	48.976
702.041666666667	24.0384	4.73	0.8595	4.7	0
702.083333333333	22.4928	4.03	0.8834	4.03	0
702.125	28.0992	3.33	0.9076	3.36	0
702.166666666667	10.7136	3.3	0.91	3.55	0
702.208333333333	69.3888	3.27	0.9124	3.74	0
702.25	24.5376	3.24	0.9149	3.93	0
702.291666666667	10.5888	3.24	0.9182	3.67	0
702.333333333333	13.68	3.24	0.9216	3.41	0
702.375	10.584	3.25	0.9242	3.15	0
702.416666666667	0	3.02	0.9251	2.36	0
702.458333333333	32.6112	2.79	0.9258	1.56	0
702.5	36.4176	2.57	0.9256	0.77	0
702.541666666667	4.4208	2.32	0.912	1.32	0
702.583333333333	1.8096	2.08	0.8969	1.87	0
702.625	0	1.84	0.8811	2.42	0
702.666666666667	0.0024	2.95	0.8494	2.47	104.032
702.708333333333	6.312	4.07	0.8177	2.53	232.787
702.75	6.384	5.19	0.7865	2.58	374.498
702.791666666667	0	6.08	0.7512	2.61	449.567
702.833333333333	0	6.97	0.7177	2.63	458.653
702.875	0	7.85	0.6863	2.66	402.064
702.916666666667	0	7.35	0.7005	2.4	334.576
702.958333333333	0	6.85	0.7148	2.15	236.248
703	0	6.34	0.7299	1.89	66.93
703.041666666667	0	5.04	0.7561	1.77	0
703.083333333333	0	3.74	0.7815	1.66	0
703.125	0	2.43	0.8065	1.54	0
703.166666666667	0	2.02	0.8067	1.52	0
703.208333333333	0	1.61	0.8063	1.49	0
703.25	0	1.21	0.8047	1.47	0
703.291666666667	0	1.34	0.7727	1.57	0
703.333333333333	0	1.47	0.7411	1.66	0
703.375	0	1.6	0.71	1.76	0
703.416666666667	0	1.16	0.7178	1.69	0
703.458333333333	0	0.73	0.7249	1.61	0
703.5	0	0.29	0.7324	1.53	0
703.541666666667	0	0.37	0.7391	1.78	0
703.583333333333	0	0.45	0.7456	2.03	0
703.625	0	0.54	0.7516	2.28	0
703.666666666667	0	1.82	0.7286	2.15	64.176
703.708333333333	0	3.11	0.7039	2.02	145.574
703.75	0	4.4	0.6786	1.89	230.074
703.791666666667	0	4.93	0.6858	2.73	276.643
703.833333333333	0	5.46	0.6918	3.58	282.486
703.875	0	6	0.6961	4.42	246.464
703.916666666667	0	5.75	0.7234	3.96	205.136
703.958333333333	0	5.5	0.7515	3.5	144.816
704	0	5.26	0.7797	3.05	62.396
704.041666666667	0	4.29	0.8228	2.67	0
704.083333333333	0	3.33	0.8679	2.3	0
704.125	0	2.37	0.9158	1.92	0
704.166666666667	0	2.48	0.9195	1.61	0
704.208333333333	0	2.6	0.9225	1.29	0
704.25	0	2.71	0.9262	0.97	0
704.291666666667	0	2.96	0.9234	1.27	0
704.333333333333	1.4544	3.22	0.9198	1.56	0
704.375	5.184	3.47	0.9167	1.86	0
704.416666666667	2.016	3.51	0.9203	1.79	0
704.458333333333	6.9888	3.55	0.924	1.71	0
704.5	29.2608	3.59	0.9275	1.64	0
704.541666666667	25.4928	3.46	0.9292	1.94	0
704.583333333333	50.1024	3.34	0.9301	2.25	0
704.625	32.8704	3.22	0.931	2.55	0
704.666666666667	44.4384	3.6	0.9288	2.04	27.808
704.708333333333	34.4832	3.98	0.9261	1.52	63.954
704.75	38.304	4.36	0.9231	1.01	120.071
704.791666666667	26.2656	4.53	0.9267	1.38	144.61
704.833333333333	43.9008	4.71	0.9294	1.75	147.792
704.875	26.9904	4.88	0.9325	2.12	156.768
704.916666666667	26.0112	4.61	0.9296	0.78	130.512
704.958333333333	22.3344	4.34	0.9261	0.57	92.112
705	34.9536	4.06	0.9229	1.92	53.036
705.041666666667	24.5856	4.53	0.9331	0.87	0
705.083333333333	27.1584	4.99	0.9425	0.17	0
705.125	36.0672	5.46	0.9498	1.22	0
705.166666666667	33.8544	5.76	0.9546	1.75	0
705.208333333333	18.8352	6.06	0.9588	2.28	0
705.25	8.448	6.35	0.9632	2.81	0
705.291666666667	16.0128	6.57	0.961	2.86	0
705.333333333333	14.4048	6.79	0.9588	2.91	0
